index,单价,小区名称,建筑面积,户型,房屋总价,朝向,楼层,装修
44,70453元/平米,厦禾裕景,93.68平米,2室2厅1卫,660万,西南,中层,豪华装修
45,61714元/平米,君临宝邸,175平米,3室2厅2卫,1080万,南北,低层,豪华装修
46,47479元/平米,富山名士园,119平米,3室2厅2卫,565万,南北,中层,精装修
47,47062元/平米,鑫龙大厦,80.32平米,3室2厅2卫,378万,北,中层,中装修
48,43313元/平米,福津大街,65.8平米,2室1厅1卫,285万,南北,低层,简装修
49,71341元/平米,镇海花园,130.36平米,3室2厅2卫,930万,南北,低层,中装修
0,55529元/平米,君临宝邸,169.1平米,3室2厅2卫,939万,南北,高层,毛坯
1,49842元/平米,新嘉园,41.13平米,1室1厅1卫,205万,东,高层,暂无
2,45039元/平米,文兴东一里,68.83平米,2室1厅1卫,310万,南北,高层,简装修
3,78079元/平米,瑞景公园,202.36平米,6室3厅4卫,1580万,南北,中层,精装修
4,49276元/平米,瑞景新村,97.41平米,3室2厅2卫,480万,南北,高层,精装修
5,50610元/平米,新嘉园,82平米,2室2厅1卫,415万,西南,高层,简装修
6,48847元/平米,云顶至尊,264.09平米,4室2厅4卫,1290万,南北,低层,毛坯
7,79628元/平米,东方明珠广场,45.21平米,2室2厅2卫,360万,西北,低层,精装修
8,44983元/平米,屿后南里,57.8平米,2室2厅1卫,260万,南北,中层,简装修
9,61590元/平米,阳鸿新城,142.88平米,3室2厅2卫,880万,南北,中层,简装修
10,49587元/平米,文屏大厦,121平米,3室2厅2卫,600万,南北,低层,简装修
11,109523元/平米,新景七星公馆,167.91平米,4室2厅2卫,1839万,南北,高层,精装修
12,51341元/平米,槟榔东里,52.2平米,2室1厅1卫,268万,南北,中层,简装修
13,69868元/平米,禹洲华侨海景城,113.07平米,3室2厅2卫,790万,东南,高层,简装修
14,57589元/平米,皇府御园,448平米,6室2厅5卫,2580万,南,低层,精装修
15,45053元/平米,福津大街,95平米,3室2厅2卫,428万,南北,中层,精装修
16,79193元/平米,厦禾裕景,322平米,5室2厅4卫,2550万,南北,中层,精装修
17,72581元/平米,明丽山庄,372平米,6室2厅5卫,2700万,南,低层,毛坯
18,46078元/平米,金龙花园,102平米,3室2厅2卫,470万,南北,低层,精装修
19,51678元/平米,银聚祥邸,518.6平米,4室2厅4卫,2680万,东,高层,暂无
20,63014元/平米,凤凰山庄别墅,365平米,6室3厅5卫,2300万,南,低层,毛坯
21,45983元/平米,金帝花园,117平米,4室2厅2卫,538万,南北,中层,简装修
22,65789元/平米,陶然北岸,174.8平米,4室2厅2卫,1150万,南北,中层,精装修
23,49276元/平米,瑞景新村,97.41平米,3室2厅2卫,480万,东,高层,中装修
24,68421元/平米,顶澳仔,57平米,2室1厅1卫,390万,东南,高层,简装修
25,118029元/平米,新景七星公馆,305.01平米,5室3厅4卫,3600万,南北,中层,毛坯
26,95329元/平米,东卉花园,283.23平米,4室3厅3卫,2700万,南北,低层,中装修
27,53057元/平米,水岸筼筜,165.86平米,4室2厅2卫,880万,南,高层,中装修
28,45277元/平米,嘉盛豪园,128.1平米,4室2厅2卫,580万,南北,高层,简装修
29,46790元/平米,家家海景,91.9平米,3室2厅1卫,430万,东南,低层,简装修
30,44192元/平米,屿后南里,79.2平米,3室2厅1卫,350万,南北,高层,简装修
31,49061元/平米,瑞景新村,95.8平米,3室2厅1卫,470万,南北,高层,中装修
32,52101元/平米,莲坂新村,119平米,3室2厅2卫,620万,南北,中层,简装修
33,44025元/平米,明发园,127.2平米,4室2厅2卫,560万,南北,高层,简装修
34,70290元/平米,鑫塔水尚,196.33平米,5室3厅3卫,1380万,东,高层,暂无
35,58753元/平米,海城花园,132.76平米,3室2厅2卫,780万,南北,中层,简装修
36,80419元/平米,珍珠湾花园别墅,435.22平米,7室3厅6卫,3500万,南,低层,中装修
37,50201元/平米,育秀里,69.72平米,2室2厅1卫,350万,南北,中层,中装修
38,52385元/平米,西堤公寓,36.27平米,1室1厅1卫,190万,南北,低层,简装修
39,34993元/平米,金鸡亭花园小区,75.73平米,2室2厅1卫,265万,南北,高层,精装修
40,40859元/平米,屿后南里,72.2平米,2室1厅1卫,295万,南北,中层,精装修
41,65490元/平米,新景中心二期,175.6平米,4室2厅2卫,1150万,南北,中层,精装修
42,71828元/平米,厦禾裕景,93平米,2室2厅1卫,668万,东南,中层,精装修
43,63761元/平米,珍珠湾花园别墅,436平米,8室3厅5卫,2780万,南,低层,简装修
44,50000元/平米,鑫塔水尚,116平米,3室1厅1卫,580万,南,低层,简装修
45,41566元/平米,文兴东三里,83平米,2室2厅1卫,345万,南北,低层,简装修
46,30617元/平米,和光里,81平米,2室1厅1卫,248万,南北,高层,简装修
47,41617元/平米,古楼北里,84.1平米,3室2厅1卫,350万,南,低层,精装修
48,41059元/平米,店上东里,85平米,2室2厅1卫,349万,南北,中层,精装修
49,44961元/平米,店上东里,129平米,3室2厅2卫,580万,南北,中层,中装修
50,47500元/平米,嘉禾花园,200平米,5室2厅3卫,950万,南北,高层,精装修
51,59211元/平米,莲岳里,38平米,1室2厅1卫,225万,南,低层,精装修
52,46667元/平米,凯旋广场,120平米,3室2厅2卫,560万,南北,中层,豪华装修
53,35417元/平米,侨福城,96平米,3室2厅1卫,340万,南北,高层,简装修
54,48642元/平米,瑞景新村,148.02平米,3室2厅2卫,720万,东南,低层,精装修
55,39091元/平米,莲坂村,66平米,3室2厅1卫,258万,南,中层,精装修
56,71457元/平米,九龙城,50.1平米,2室2厅2卫,358万,南,高层,简装修
57,55357元/平米,金辉园,28平米,1室1厅1卫,155万,北,中层,简装修
58,70968元/平米,厦禾裕景,93平米,2室2厅1卫,660万,西南,低层,豪华装修
59,95048元/平米,源昌新天地,105平米,4室2厅3卫,998万,南北,低层,精装修
0,44744元/平米,城市花园,78平米,3室2厅1卫,349万,东北,中层,精装修
1,111538元/平米,虎园路财政宿舍,52平米,2室1厅1卫,580万,南北,中层,简装修
2,59836元/平米,国贸广场,122平米,3室2厅2卫,730万,南北,低层,简装修
3,38909元/平米,华孚花园,55平米,2室1厅1卫,214万,东南,高层,简装修
4,43452元/平米,中关委大厦,84平米,2室2厅1卫,365万,东北,中层,精装修
5,65789元/平米,君临宝邸,167.2平米,4室2厅2卫,1100万,南北,中层,精装修
6,64507元/平米,信和银湖天峰,110.84平米,2室2厅2卫,715万,东,高层,毛坯
7,61538元/平米,东芳山庄,338平米,5室3厅4卫,2080万,南北,低层,中装修
8,55873元/平米,源昌君悦山,157.5平米,3室2厅2卫,880万,南北,低层,精装修
9,57143元/平米,万科金域蓝湾,133平米,3室2厅2卫,760万,南北,高层,精装修
10,44608元/平米,文兴东一里,51.56平米,1室1厅1卫,230万,南北,高层,中装修
11,40816元/平米,槟榔花园,98平米,3室2厅1卫,400万,南北,中层,精装修
12,51899元/平米,源昌君悦山,158平米,3室2厅2卫,820万,南北,中层,精装修
13,35567元/平米,观远里,97平米,3室1厅1卫,345万,南北,高层,精装修
14,45357元/平米,塔厝社1-83号,83.78平米,3室2厅1卫,380万,南北,中层,中装修
15,47729元/平米,共和大厦,47.77平米,2室1厅1卫,228万,北,中层,中装修
16,41409元/平米,槟榔花园,80.9平米,2室2厅1卫,335万,南北,低层,简装修
17,57824元/平米,陶然北岸,153.57平米,3室2厅2卫,888万,南北,低层,精装修
18,51905元/平米,建达花园,63平米,2室1厅1卫,327万,南,中层,简装修
19,47925元/平米,华林东盛花园,80.96平米,2室2厅1卫,388万,南北,高层,中装修
20,62252元/平米,碧湖豪庭,176.7平米,4室2厅3卫,1100万,南北,中层,精装修
21,56170元/平米,中信惠扬,94平米,3室2厅2卫,528万,西北,高层,豪华装修
22,67022元/平米,金象嘉园,131.3平米,4室2厅3卫,880万,南北,中层,精装修
23,40307元/平米,华林花园二期,71.7平米,2室1厅1卫,289万,南北,高层,简装修
24,60194元/平米,水晶国际,103平米,3室3厅2卫,620万,南北,中层,简装修
25,62736元/平米,文园雅阁,82.25平米,2室1厅1卫,516万,东南,高层,精装修
26,70607元/平米,巴厘香墅,708平米,8室4厅7卫,4999万,南,低层,毛坯
27,46277元/平米,振兴新村,71.31平米,2室2厅1卫,330万,南北,高层,中装修
28,81633元/平米,海峡国际天璟,245平米,4室2厅3卫,2000万,南北,高层,豪华装修
29,43622元/平米,古楼北里,66.48平米,2室1厅1卫,290万,南北,高层,中装修
30,54858元/平米,厦门大学城,178.28平米,4室2厅2卫,978万,南北,中层,精装修
31,48938元/平米,太湖新城,136.5平米,3室2厅2卫,668万,南北,高层,中装修
32,69578元/平米,新景高峰会,208.4平米,4室2厅2卫,1450万,南北,高层,简装修
33,41120元/平米,蜂巢山路,57.88平米,2室1厅1卫,238万,南北,中层,简装修
34,43426元/平米,育秀里,74.84平米,2室1厅1卫,325万,东西,低层,中装修
35,69231元/平米,海峡国际天璟,130平米,3室2厅2卫,900万,东南,高层,豪华装修
36,74545元/平米,海峡国际社区,165平米,3室2厅2卫,1230万,南北,中层,精装修
37,59732元/平米,海峡国际天璟,149平米,3室2厅2卫,890万,西北,高层,精装修
38,50670元/平米,莲岳里,74.6平米,3室1厅1卫,378万,南北,高层,中装修
39,44222元/平米,金榜大厦,90平米,3室2厅1卫,398万,南北,高层,精装修
40,70787元/平米,鹭江海景花园,89平米,3室2厅1卫,630万,南北,高层,简装修
41,51040元/平米,文屏大厦,125平米,3室2厅2卫,638万,南北,低层,简装修
42,49451元/平米,金祥大厦,91平米,3室2厅2卫,450万,南北,中层,豪华装修
43,59399元/平米,盈翠里,89.9平米,3室1厅2卫,534万,南北,低层,精装修
44,50440元/平米,泛华大厦,152.26平米,3室2厅2卫,768万,东北,高层,简装修
45,41958元/平米,中山公园老别墅,572平米,6室2厅3卫,2400万,南,低层,毛坯
46,52368元/平米,富山花园,38平米,暂无,199万,东,中层,简装修
47,51546元/平米,华瑞花园,87.3平米,2室2厅1卫,450万,南北,高层,精装修
48,44723元/平米,前埔北区一里,95.7平米,3室2厅1卫,428万,南北,高层,简装修
49,46271元/平米,东方旺族,237.3平米,5室2厅2卫,1098万,东南,高层,精装修
50,55087元/平米,新莲花新龙山花园,154.3平米,4室2厅3卫,850万,南,高层,精装修
51,72847元/平米,海峡国际天璟,137平米,3室2厅2卫,998万,南北,高层,精装修
52,65138元/平米,海峡国际天璟,109平米,3室2厅1卫,710万,西南,中层,豪华装修
53,36850元/平米,联丰商城,128.9平米,4室2厅2卫,475万,西北,低层,精装修
54,57461元/平米,皇府御园,449平米,6室2厅4卫,2580万,东,低层,毛坯
55,44200元/平米,文兴东二里,82.58平米,3室1厅1卫,365万,南北,中层,简装修
56,55427元/平米,松柏华庭,86.6平米,3室2厅2卫,480万,南北,低层,精装修
57,52593元/平米,振兴新村,54.19平米,2室1厅1卫,285万,东南,中层,简装修
58,58797元/平米,瑞景商业广场,44.22平米,2室1厅1卫,260万,东南,中层,精装修
59,57951元/平米,厦门千禧园,56.6平米,2室1厅1卫,328万,南北,高层,简装修
0,42694元/平米,侨福城,105.4平米,3室2厅1卫,450万,南北,中层,精装修
1,49203元/平米,阿里山大厦,131.7平米,3室2厅2卫,648万,南北,高层,精装修
2,56232元/平米,信和上筑,69平米,1室1厅1卫,388万,西南,中层,精装修
3,53368元/平米,万峰华庭,193平米,4室2厅2卫,1030万,南北,高层,简装修
4,81103元/平米,东方明珠广场,100.86平米,4室1厅3卫,818万,西南,低层,豪华装修
5,56182元/平米,松柏湖花园,88.64平米,2室1厅1卫,498万,东西,低层,简装修
6,39062元/平米,云顶山庄花园,96平米,2室2厅1卫,375万,西南,中层,精装修
7,67584元/平米,玉滨城三期,159.8平米,3室2厅2卫,1080万,西北,低层,精装修
8,38853元/平米,云顶山庄花园,76.7平米,2室2厅1卫,298万,南北,中层,简装修
9,47460元/平米,不见天,63平米,2室1厅1卫,299万,南北,高层,中装修
10,65440元/平米,鑫塔水尚,122.25平米,5室3厅3卫,800万,西,低层,精装修
11,87298元/平米,凤凰山庄别墅,433平米,8室3厅4卫,3780万,南,低层,毛坯
12,48951元/平米,育秀里,71.5平米,2室2厅1卫,350万,南北,中层,中装修
13,56974元/平米,罗宾森广场,101.8平米,3室2厅2卫,580万,南北,低层,精装修
14,70562元/平米,特房尊府,181.4平米,4室2厅2卫,1280万,南北,高层,毛坯
15,109459元/平米,新景七星公馆,168.1平米,3室2厅2卫,1840万,南,高层,豪华装修
16,62874元/平米,湖滨一里,50.1平米,2室1厅1卫,315万,东南,高层,简装修
17,44610元/平米,云顶至尊,269平米,5室2厅3卫,1200万,南北,中层,豪华装修
18,59314元/平米,恒通花园大厦,102平米,3室2厅1卫,605万,南北,中层,中装修
19,65599元/平米,建东大厦,131.1平米,3室2厅2卫,860万,东北,中层,简装修
20,44586元/平米,侨福城,78.5平米,2室2厅1卫,350万,南北,高层,精装修
21,60274元/平米,鑫塔水尚,146平米,4室2厅3卫,880万,南北,中层,简装修
22,41599元/平米,店上东里,86.06平米,3室2厅1卫,358万,南北,高层,精装修
23,37072元/平米,岳阳西里,74.99平米,3室2厅1卫,278万,南北,低层,简装修
24,73813元/平米,鑫塔水尚,155.8平米,4室3厅3卫,1150万,东,低层,豪华装修
25,49569元/平米,莲花大厦,46.4平米,1室1厅1卫,230万,南,低层,简装修
26,51833元/平米,厦门大学城,177.3平米,4室2厅2卫,919万,东北,低层,精装修
27,54857元/平米,新乐大厦,140平米,3室2厅2卫,768万,北,中层,精装修
28,69231元/平米,海峡国际天璟,130平米,3室2厅2卫,900万,南北,中层,精装修
29,63269元/平米,海洋新村,52平米,1室1厅1卫,329万,西南,中层,精装修
30,70911元/平米,盈翠嘉园,124.1平米,3室2厅2卫,880万,南北,低层,简装修
31,48847元/平米,云顶至尊,264.09平米,4室2厅4卫,1290万,南北,低层,毛坯
32,50000元/平米,牡丹园,138平米,3室2厅2卫,690万,东西,低层,简装修
33,50721元/平米,玉成豪园,131.7平米,3室2厅2卫,668万,南北,低层,精装修
34,44000元/平米,紫荆园,50平米,1室2厅1卫,220万,南,低层,中装修
35,65000元/平米,湖滨一里,122平米,4室2厅2卫,793万,南北,高层,精装修
36,53440元/平米,南洋大厦,125平米,4室2厅2卫,668万,南北,高层,豪华装修
37,60847元/平米,南湖明珠,189平米,3室2厅2卫,1150万,南北,低层,豪华装修
38,34850元/平米,观远里,96.7平米,3室2厅1卫,337万,南北,高层,精装修
39,62738元/平米,瑞景公园,157.8平米,3室2厅2卫,990万,南北,低层,精装修
40,41620元/平米,莲坂西小区,62.47平米,2室1厅2卫,260万,南北,低层,简装修
41,69364元/平米,巴厘香墅,173平米,4室2厅4卫,1200万,南,低层,精装修
42,39014元/平米,思明南路278,64.08平米,2室1厅1卫,250万,南北,高层,简装修
43,44608元/平米,文兴东一里,51.56平米,1室1厅1卫,230万,南北,高层,中装修
44,58155元/平米,爱琴海,271.69平米,4室2厅3卫,1580万,南北,低层,精装修
45,44737元/平米,云顶至尊,266平米,4室2厅4卫,1190万,南北,低层,毛坯
46,90137元/平米,厦禾裕景,153.1平米,3室2厅2卫,1380万,南北,高层,精装修
47,41120元/平米,蜂巢山路,57.88平米,2室1厅1卫,238万,南北,中层,简装修
48,56363元/平米,嘉隆商业小区,102平米,3室2厅2卫,574.9万,西北,高层,简装修
49,50877元/平米,莲岳里,68.4平米,2室1厅1卫,348万,南,中层,精装修
50,66421元/平米,新景中心二期,162.6平米,4室2厅2卫,1080万,南北,低层,豪华装修
51,44222元/平米,金榜大厦,90平米,3室2厅1卫,398万,南北,高层,精装修
52,138476元/平米,雍景湾,361平米,8室2厅5卫,4999万,南,低层,豪华装修
53,62438元/平米,博海豪园,160平米,4室2厅2卫,999万,南北,低层,简装修
54,56566元/平米,鹭江新城三期,99平米,3室2厅1卫,560万,南,低层,精装修
55,42811元/平米,美仁新村,113.99平米,4室3厅2卫,488万,南北,高层,中装修
56,36203元/平米,岳阳小区,87.01平米,3室2厅1卫,315万,南北,高层,简装修
57,40727元/平米,建发花园二期,110平米,3室2厅2卫,448万,南北,低层,简装修
58,46702元/平米,湖北大厦,94平米,3室2厅1卫,439万,东,低层,精装修
59,39988元/平米,岳阳西里,132.04平米,3室2厅2卫,528万,南北,中层,简装修
0,47059元/平米,米兰春天,51平米,1室1厅1卫,240万,北,高层,简装修
1,56818元/平米,九龙城,43.12平米,2室1厅1卫,245万,北,高层,简装修
2,57728元/平米,九龙城,53.7平米,2室1厅1卫,310万,北,中层,简装修
3,44697元/平米,蜂巢山路,66平米,2室2厅1卫,295万,南北,中层,简装修
4,71038元/平米,水晶国际,102.48平米,4室2厅2卫,728万,南北,高层,精装修
5,50778元/平米,金辉园,31.51平米,暂无,160万,北,高层,中装修
6,70504元/平米,厦门大学城,139平米,3室2厅2卫,980万,南北,低层,简装修
7,68093元/平米,水晶国际,102.8平米,3室2厅2卫,700万,东,低层,暂无
8,37422元/平米,云顶山庄花园,79.9平米,2室2厅1卫,299万,南北,低层,精装修
9,63710元/平米,海峡国际天璟,124平米,3室2厅2卫,790万,南北,高层,精装修
10,42466元/平米,福满山庄,73平米,3室1厅1卫,310万,南北,高层,精装修
11,59259元/平米,银行家园,162平米,3室2厅2卫,960万,南北,中层,精装修
12,66964元/平米,巴厘香墅,448平米,8室2厅4卫,3000万,南,低层,简装修
13,110000元/平米,新景七星公馆,170平米,3室2厅1卫,1870万,南北,高层,毛坯
14,51020元/平米,国贸信隆城,245平米,5室3厅3卫,1250万,东北,高层,简装修
15,42562元/平米,瑞景新村,148.02平米,3室2厅2卫,630万,南北,低层,简装修
16,51771元/平米,莲花花园,96平米,3室2厅1卫,497万,南北,中层,简装修
17,58260元/平米,鲁能领秀城,159.63平米,5室2厅3卫,930万,南北,低层,毛坯
18,109523元/平米,新景七星公馆,167.91平米,4室2厅2卫,1839万,南北,高层,精装修
19,36203元/平米,岳阳小区,87.01平米,3室2厅1卫,315万,南北,高层,简装修
20,31757元/平米,宝龙中心,148平米,4室2厅2卫,470万,南北,中层,中装修
21,35922元/平米,古楼南里,144.2平米,3室2厅3卫,518万,南北,高层,精装修
22,69671元/平米,源昌国际城二期,163.34平米,4室2厅2卫,1138万,南北,高层,精装修
23,48797元/平米,嘉怡园,88.12平米,2室2厅1卫,430万,西,中层,简装修
24,47741元/平米,五龙大厦,136.15平米,3室2厅2卫,650万,南北,高层,简装修
25,64534元/平米,海峡国际社区,178.2平米,4室2厅2卫,1150万,东,低层,暂无
26,79863元/平米,领秀中山,175.3平米,3室2厅2卫,1400万,南北,中层,精装修
27,70911元/平米,盈翠嘉园,124.1平米,3室2厅2卫,880万,南北,低层,简装修
28,52555元/平米,水晶国际,137平米,3室2厅2卫,720万,东南,低层,简装修
29,45324元/平米,湖滨三里,100.61平米,3室2厅2卫,456万,南北,低层,中装修
30,48462元/平米,映碧里,78平米,3室1厅1卫,378万,南北,低层,精装修
31,46277元/平米,振兴新村,71.31平米,2室2厅1卫,330万,南北,高层,简装修
32,73469元/平米,联发滨海名居,98平米,2室2厅1卫,720万,东南,高层,精装修
33,54667元/平米,富山花园二期,37.5平米,1室1厅1卫,205万,南北,中层,中装修
34,41176元/平米,港龙新城,153平米,4室2厅2卫,630万,南北,中层,简装修
35,48120元/平米,建达花园,66.5平米,3室1厅1卫,320万,南,低层,精装修
36,64273元/平米,文园雅阁,82.15平米,2室2厅1卫,528万,西南,高层,简装修
37,93364元/平米,源昌新天地,107平米,4室2厅3卫,999万,南北,中层,精装修
38,63303元/平米,海峡国际天璟,109平米,3室2厅1卫,690万,西南,中层,精装修
39,83490元/平米,尊墅尊府,185.65平米,4室2厅2卫,1550万,南北,高层,简装修
40,71877元/平米,领秀中山,175.3平米,4室2厅2卫,1260万,南北,低层,简装修
41,71298元/平米,鑫塔水尚,109.4平米,3室3厅3卫,780万,西,高层,精装修
42,45880元/平米,紫荆园,233平米,5室2厅3卫,1069万,南北,高层,精装修
43,68027元/平米,绿家园,147平米,4室2厅2卫,1000万,南北,高层,简装修
44,35459元/平米,中信广场B幢,149.47平米,3室2厅2卫,530万,东北,高层,简装修
45,78608元/平米,海峡国际社区,178.1平米,3室2厅2卫,1400万,南北,中层,豪华装修
46,77170元/平米,山景叠院,155.5平米,4室2厅2卫,1200万,南北,低层,精装修
47,40288元/平米,华林花园二期,116.66平米,3室2厅2卫,470万,南北,高层,精装修
48,51112元/平米,国贸广场,166.3平米,4室3厅2卫,850万,南北,高层,精装修
49,42135元/平米,前埔南区店上西里,128.16平米,4室2厅2卫,540万,南,低层,中装修
50,74286元/平米,皇家御城,175平米,4室2厅3卫,1300万,南北,低层,毛坯
51,56205元/平米,福达里改造项目,118.85平米,3室2厅2卫,668万,南北,中层,简装修
52,61856元/平米,华侨海景城二期,145.5平米,4室2厅2卫,900万,北,低层,精装修
53,56049元/平米,恒通花园大厦,103.48平米,3室2厅1卫,580万,东北,中层,简装修
54,42593元/平米,槟榔西里,54平米,2室1厅1卫,230万,南北,高层,简装修
55,37525元/平米,石亭小区,50.1平米,2室1厅1卫,188万,南北,中层,中装修
56,91146元/平米,厦禾裕景,153.6平米,3室2厅2卫,1400万,南北,高层,精装修
57,44326元/平米,嘉华大厦,67.68平米,2室2厅1卫,300万,南北,中层,简装修
58,47062元/平米,鑫龙大厦,80.32平米,3室2厅2卫,378万,南北,中层,精装修
59,50047元/平米,育秀里,63.94平米,2室2厅1卫,320万,南北,中层,简装修
0,46774元/平米,华林金磊花园,93平米,3室2厅1卫,435万,南北,低层,中装修
1,44989元/平米,前埔北区一里,96.69平米,3室2厅1卫,435万,南北,高层,精装修
2,45833元/平米,一代风华,33.6平米,1室1厅1卫,154万,南,低层,简装修
3,69661元/平米,九龙城,50.1平米,2室2厅2卫,349万,南,高层,简装修
4,47062元/平米,鑫龙大厦,80.32平米,3室2厅2卫,378万,南北,中层,精装修
5,43786元/平米,屿后北里,77.65平米,3室2厅1卫,340万,南,高层,精装修
6,72179元/平米,东方明珠广场,100.86平米,4室2厅3卫,728万,东北,中层,精装修
7,67123元/平米,厦门大学城,73平米,1室2厅1卫,490万,东南,高层,中装修
8,46000元/平米,京都骏景园,130平米,4室2厅2卫,598万,东西,高层,精装修
9,39191元/平米,前埔北区一里,96.45平米,3室2厅1卫,378万,南北,高层,中装修
10,63106元/平米,爱琴海,269.39平米,5室2厅3卫,1700万,东南,中层,精装修
11,61798元/平米,万科金域蓝湾,89平米,3室2厅1卫,550万,南北,中层,精装修
12,57329元/平米,玉滨城,137.8平米,4室2厅2卫,790万,东北,低层,简装修
13,49516元/平米,珍珠湾花园,90.88平米,2室1厅1卫,450万,南北,低层,简装修
14,51490元/平米,宝龙中心二期,116.14平米,3室2厅2卫,598万,西北,高层,精装修
15,78033元/平米,蓝湾国际,209.91平米,4室2厅3卫,1638万,南北,低层,毛坯
16,47689元/平米,惠祥花园,115.33平米,3室2厅2卫,550万,南北,高层,中装修
17,55873元/平米,源昌君悦山,157.5平米,3室2厅2卫,880万,南北,中层,简装修
18,41493元/平米,嘉华大厦,67平米,2室2厅1卫,278万,西北,高层,精装修
19,68335元/平米,汇丰家园,125.85平米,3室2厅2卫,860万,南北,低层,中装修
20,60847元/平米,南湖明珠,189平米,3室2厅2卫,1150万,南北,低层,豪华装修
21,58000元/平米,海湾新城,50平米,1室1厅1卫,290万,北,高层,精装修
22,47646元/平米,嘉盛豪园,143.98平米,3室2厅3卫,686万,南北,中层,中装修
23,73077元/平米,鸿山新村,78平米,2室1厅1卫,570万,西南,高层,精装修
24,41239元/平米,明发花园,125.61平米,3室2厅2卫,518万,南北,高层,精装修
25,42524元/平米,槟榔花园,103平米,3室2厅1卫,438万,南北,低层,中装修
26,58486元/平米,鲁能领秀城,163.8平米,3室2厅3卫,958万,南北,低层,简装修
27,42017元/平米,鹭江新城,83.3平米,3室2厅1卫,350万,南北,中层,精装修
28,44200元/平米,文兴东二里,82.58平米,3室1厅1卫,365万,南北,中层,简装修
29,58642元/平米,万寿山铁路小区,81平米,3室2厅1卫,475万,南北,高层,简装修
30,69956元/平米,鲁能领秀城,160.1平米,4室2厅3卫,1120万,东南,高层,豪华装修
31,55873元/平米,博士金海豪园,157.5平米,4室2厅2卫,880万,南北,高层,精装修
32,59944元/平米,文秀阁,75.07平米,2室1厅1卫,450万,南北,高层,中装修
33,50641元/平米,瑞景新村,96.76平米,3室2厅1卫,490万,南北,低层,中装修
34,35640元/平米,福星花园,86.98平米,2室2厅1卫,310万,南北,中层,简装修
35,41216元/平米,龙昌里居住区,74平米,2室2厅1卫,305万,南北,中层,精装修
36,52138元/平米,罗宾森广场,53.32平米,2室1厅1卫,278万,西,高层,简装修
37,54196元/平米,禹洲世贸国际,53.14平米,2室1厅1卫,288万,西北,中层,简装修
38,57304元/平米,国源滨北国际,131.23平米,3室2厅2卫,752万,东南,高层,精装修
39,40976元/平米,文兴东三里,102.5平米,3室2厅1卫,420万,南北,中层,精装修
40,53623元/平米,枫丹雅苑,96.6平米,3室2厅2卫,518万,东北,低层,精装修
41,56000元/平米,华尔顿1275,230平米,5室2厅4卫,1288万,南北,低层,简装修
42,45752元/平米,石亭小区,61.2平米,3室2厅1卫,280万,南北,中层,中装修
43,44025元/平米,明发园,127.2平米,4室2厅2卫,560万,南北,高层,简装修
44,71071元/平米,老虎城,28平米,暂无,199万,南北,高层,豪华装修
45,57225元/平米,禾丰新景,69.9平米,2室1厅1卫,400万,南北,中层,简装修
46,60909元/平米,信和银湖天峰,44平米,1室1厅1卫,268万,东,低层,简装修
47,45968元/平米,鑫塔水尚,124平米,2室1厅1卫,570万,南,低层,精装修
48,68182元/平米,蓝湾国际,176平米,4室2厅2卫,1200万,南北,低层,精装修
49,66047元/平米,万科金域蓝湾,163.52平米,4室2厅2卫,1080万,南北,高层,精装修
50,45184元/平米,仙岳海景大厦,139.43平米,3室2厅2卫,630万,东南,高层,精装修
51,96491元/平米,阳光海岸别墅,342平米,6室3厅5卫,3300万,东,低层,中装修
52,96591元/平米,福隆东方丽景,176平米,5室2厅3卫,1700万,南北,低层,精装修
53,56567元/平米,富山美迪斯,45.61平米,2室1厅1卫,258万,南北,高层,简装修
54,70149元/平米,海峡国际天璟,134平米,3室2厅2卫,940万,东西,中层,精装修
55,45545元/平米,金龙花园,101平米,3室2厅2卫,460万,南北,低层,精装修
56,55742元/平米,中山路名汇广场,44.67平米,暂无,249万,西南,低层,简装修
57,75188元/平米,源昌国际城二期,166.25平米,4室2厅2卫,1250万,南北,高层,精装修
58,56287元/平米,泛华大厦,110.15平米,2室2厅1卫,620万,南,高层,精装修
59,47932元/平米,泛华大厦,152.3平米,3室2厅2卫,730万,南北,高层,精装修
0,45333元/平米,翠湖小区,75平米,2室1厅1卫,340万,东,中层,暂无
1,40290元/平米,岭兜小区,69平米,2室2厅1卫,278万,南北,中层,中装修
2,65285元/平米,国盟新天地,202.19平米,4室2厅2卫,1320万,南北,低层,精装修
3,62925元/平米,陶然北岸,174.81平米,5室2厅2卫,1100万,南北,中层,精装修
4,81268元/平米,天鹭大厦,98.44平米,2室2厅1卫,800万,南北,中层,中装修
5,41475元/平米,墩仔家园,132.61平米,4室2厅2卫,550万,东北,高层,毛坯
6,37067元/平米,岳阳小区,75平米,3室2厅1卫,278万,南北,中层,简装修
7,48950元/平米,新港龙名府,140.96平米,4室2厅2卫,690万,南北,低层,简装修
8,62500元/平米,厦门大学城,49.6平米,1室1厅1卫,310万,南北,中层,精装修
9,47556元/平米,复兴世纪,90平米,2室2厅1卫,428万,南北,高层,精装修
10,53455元/平米,安宝大厦,110平米,3室2厅2卫,588万,东北,中层,简装修
11,55882元/平米,创冠体育大厦,136平米,3室2厅2卫,760万,西北,低层,中装修
12,40800元/平米,山木清华,75平米,2室2厅1卫,306万,东北,低层,简装修
13,52491元/平米,万禾春天,108.21平米,3室2厅2卫,568万,南北,低层,中装修
